center_hz,peak_hz,offset_hz,power_db,noise_floor_db,snr_db,rank
118000000,118307189.941,307189.941,11.53,-25.40,36.93,1
118000000,117992065.430,-7934.570,-12.97,-25.40,12.42,2
118000000,117950622.559,-49377.441,-13.15,-25.40,12.25,3
118500000,118646240.234,146240.234,5.76,-25.27,31.03,1
118500000,118061340.332,-438659.668,-10.46,-25.27,14.81,2
119000000,118682617.188,-317382.812,-9.28,-24.16,14.88,1
119500000,119000000.000,-500000.000,3.77,-25.17,28.94,1
120000000,119993041.992,-6958.008,6.23,-25.04,31.27,1
120000000,119987487.793,-12512.207,2.96,-25.04,28.00,2
120000000,120009704.590,9704.590,1.85,-25.04,26.89,3
120000000,120015319.824,15319.824,-4.77,-25.04,20.27,4
120000000,119985473.633,-14526.367,-8.17,-25.04,16.87,5
120500000,120306823.730,-193176.270,10.17,-24.91,35.08,1
120500000,120000000.000,-500000.000,4.03,-24.91,28.94,2
121500000,121000000.000,-500000.000,-12.16,-25.20,13.05,1
122500000,122541320.801,41320.801,-0.66,-25.92,25.26,1
122500000,122539794.922,39794.922,-6.84,-25.92,19.08,2
122500000,122543090.820,43090.820,-8.13,-25.92,17.78,3
122500000,122538330.078,38330.078,-9.43,-25.92,16.49,4
122500000,122016540.527,-483459.473,-13.43,-25.92,12.48,5
123000000,123042907.715,42907.715,-6.71,-25.83,19.13,1
123000000,123041198.730,41198.730,-8.06,-25.83,17.78,2
123000000,123039001.465,39001.465,-9.52,-25.83,16.32,3
123000000,123190734.863,190734.863,-10.29,-25.83,15.55,4
123000000,123189208.984,189208.984,-11.62,-25.83,14.21,5
123500000,123981872.559,481872.559,-10.25,-26.17,15.92,1
123500000,123010009.766,-489990.234,-12.32,-26.17,13.85,2
123500000,123000000.000,-500000.000,-12.53,-26.17,13.64,3
124000000,124021545.410,21545.410,-13.07,-26.31,13.25,1
124500000,124000000.000,-500000.000,-7.75,-20.55,12.80,1
125500000,125292419.434,-207580.566,5.68,-21.77,27.46,1
126500000,126000000.000,-500000.000,-0.47,-19.23,18.76,1
127000000,126615539.551,-384460.449,2.52,-17.62,20.14,1
127500000,127000000.000,-500000.000,8.27,-19.15,27.42,1
128500000,128000000.000,-500000.000,9.06,-18.43,27.49,1
128500000,128017272.949,-482727.051,-0.22,-18.43,18.21,2
129500000,129000000.000,-500000.000,-2.55,-23.80,21.25,1
130500000,130067321.777,-432678.223,-14.95,-27.03,12.08,1
131000000,131019409.180,19409.180,-10.30,-26.54,16.24,1
131000000,131067382.812,67382.812,-10.67,-26.54,15.88,2
131000000,131162048.340,162048.340,-12.17,-26.54,14.37,3
131000000,130876770.020,-123229.980,-13.02,-26.54,13.52,4
131000000,131210021.973,210021.973,-13.30,-26.54,13.24,5
131500000,131000000.000,-500000.000,-12.84,-25.92,13.07,1
132000000,131992370.605,-7629.395,4.25,-25.74,29.98,1
132000000,132022949.219,22949.219,-5.40,-25.74,20.33,2
132000000,132374511.719,374511.719,-11.02,-25.74,14.71,3
132500000,132374511.719,-125488.281,-9.75,-26.38,16.63,1
133000000,133126525.879,126525.879,-12.97,-25.76,12.78,1
133000000,132983886.719,-16113.281,-13.71,-25.76,12.04,2
133500000,133000000.000,-500000.000,-2.57,-26.42,23.85,1
134000000,133829345.703,-170654.297,-6.62,-26.77,20.15,1
134500000,134000000.000,-500000.000,-14.72,-27.04,12.32,1
135500000,135000000.000,-500000.000,-11.24,-27.06,15.82,1
136000000,135985839.844,-14160.156,-6.29,-27.00,20.71,1
136000000,136023620.605,23620.605,-9.74,-27.00,17.26,2
136000000,136005493.164,5493.164,-13.85,-27.00,13.15,3
136500000,136000000.000,-500000.000,-9.45,-26.67,17.22,1
137000000,137309692.383,309692.383,-9.54,-26.44,16.90,1
