group_center_hz,best_peak_hz,min_hz,max_hz,width_hz,detections,best_snr_db,avg_snr_db,best_power_db,avg_noise_floor_db,best_tune_center_hz
144674987.793,144674987.793,144674987.793,144674987.793,0.000,1,35.08,35.08,9.48,-25.59,144500000.000
143998901.367,143991699.219,143991699.219,144005004.883,13305.664,3,31.75,27.02,5.72,-25.88,144000000.000
145139343.262,145139343.262,145139343.262,145139343.262,0.000,2,24.33,24.25,-1.75,-25.85,145500000.000
146000000.000,146000000.000,146000000.000,146000000.000,0.000,1,22.82,22.82,4.01,-18.81,146500000.000
144996175.130,145000000.000,144990417.480,145000000.000,9582.520,3,16.90,13.62,-9.18,-25.76,145500000.000
144038513.184,144038513.184,144038513.184,144038513.184,0.000,1,13.69,13.69,-12.34,-26.03,144000000.000
144181152.344,144181152.344,144181152.344,144181152.344,0.000,1,12.89,12.89,-13.13,-26.03,144000000.000
143942504.883,143942504.883,143942504.883,143942504.883,0.000,1,12.75,12.75,-13.27,-26.03,144000000.000
144942443.848,144942443.848,144942443.848,144942443.848,0.000,1,11.23,11.23,-14.40,-25.62,145000000.000
144323730.469,144323730.469,144323730.469,144323730.469,0.000,1,10.47,10.47,-15.12,-25.59,144500000.000
