center_hz,peak_hz,offset_hz,power_db,noise_floor_db,snr_db,rank
144000000,143991699.219,-8300.781,5.72,-26.03,31.75,1
144000000,144005004.883,5004.883,0.12,-26.03,26.15,2
144000000,144038513.184,38513.184,-12.34,-26.03,13.69,3
144000000,144181152.344,181152.344,-13.13,-26.03,12.89,4
144000000,143942504.883,-57495.117,-13.27,-26.03,12.75,5
144500000,144674987.793,174987.793,9.48,-25.59,35.08,1
144500000,144000000.000,-500000.000,-2.45,-25.59,23.15,2
144500000,144998107.910,498107.910,-12.79,-25.59,12.80,3
144500000,144323730.469,-176269.531,-15.12,-25.59,10.47,4
145000000,145139343.262,139343.262,-1.45,-25.62,24.17,1
145000000,144942443.848,-57556.152,-14.40,-25.62,11.23,2
145000000,144990417.480,-9582.520,-14.47,-25.62,11.15,3
145500000,145139343.262,-360656.738,-1.75,-26.08,24.33,1
145500000,145000000.000,-500000.000,-9.18,-26.08,16.90,2
146500000,146000000.000,-500000.000,4.01,-18.81,22.82,1
