center_hz,peak_hz,offset_hz,power_db,noise_floor_db,snr_db,rank
420000000,420014587.402,14587.402,12.00,-19.86,31.86,1
420000000,419975708.008,-24291.992,2.18,-19.86,22.04,2
420000000,419994323.730,-5676.270,1.19,-19.86,21.05,3
420000000,419136962.891,-863037.109,-3.50,-19.86,16.36,4
420000000,419803649.902,-196350.098,-3.67,-19.86,16.19,5
421000000,421995117.188,995117.188,14.75,-18.89,33.64,1
421000000,421014587.402,14587.402,5.90,-18.89,24.79,2
421000000,420004211.426,-995788.574,2.50,-18.89,21.39,3
421000000,420975708.008,-24291.992,-4.67,-18.89,14.22,4
421000000,420994323.730,-5676.270,-4.73,-18.89,14.16,5
422000000,422995117.188,995117.188,8.37,-18.90,27.27,1
422000000,421357604.980,-642395.020,2.70,-18.90,21.59,2
422000000,422500915.527,500915.527,0.55,-18.90,19.45,3
422000000,421004211.426,-995788.574,-4.01,-18.90,14.89,4
423000000,422500915.527,-499084.473,1.79,-18.46,20.25,1
424000000,424014709.473,14709.473,2.81,-16.24,19.05,1
425000000,425042236.328,42236.328,-1.70,-16.58,14.88,1
425000000,425803588.867,803588.867,-3.36,-16.58,13.23,2
425000000,425184875.488,184875.488,-3.81,-16.58,12.78,3
425000000,425136901.855,136901.855,-4.17,-16.58,12.41,4
425000000,424994262.695,-5737.305,-4.29,-16.58,12.30,5
426000000,425803588.867,-196411.133,-1.72,-17.00,15.28,1
426000000,425994201.660,-5798.340,-2.69,-17.00,14.30,2
426000000,426136901.855,136901.855,-3.11,-17.00,13.89,3
426000000,426042236.328,42236.328,-3.11,-17.00,13.88,4
426000000,426184875.488,184875.488,-3.35,-17.00,13.64,5
427000000,427500915.527,500915.527,2.89,-16.96,19.85,1
427000000,426994201.660,-5798.340,-3.13,-16.96,13.83,2
427000000,427042236.328,42236.328,-3.28,-16.96,13.68,3
427000000,426184875.488,-815124.512,-4.08,-16.96,12.88,4
427000000,426946228.027,-53771.973,-4.14,-16.96,12.82,5
428000000,427500915.527,-499084.473,3.22,-17.48,20.69,1
428000000,427136901.855,-863098.145,-4.90,-17.48,12.57,2
428000000,427184875.488,-815124.512,-5.21,-17.48,12.26,3
429000000,428000915.527,-999084.473,-3.07,-16.50,13.43,1
431000000,431994995.117,994995.117,10.10,-16.41,26.51,1
431000000,430000915.527,-999084.473,-1.70,-16.41,14.71,2
431000000,431851501.465,851501.465,-3.61,-16.41,12.80,3
431000000,431946166.992,946166.992,-3.84,-16.41,12.57,4
431000000,430994140.625,-5859.375,-4.36,-16.41,12.05,5
432000000,431994995.117,-5004.883,17.28,-16.04,33.32,1
432000000,432500915.527,500915.527,3.77,-16.04,19.81,2
432000000,432015014.648,15014.648,-0.88,-16.04,15.15,3
432000000,432898132.324,898132.324,-3.56,-16.04,12.48,4
433000000,433325012.207,325012.207,26.23,-15.02,41.25,1
433000000,433994995.117,994995.117,8.20,-15.02,23.22,2
433000000,432500915.527,-499084.473,3.83,-15.02,18.85,3
433000000,432024902.344,-975097.656,-0.89,-15.02,14.13,4
433000000,432994995.117,-5004.883,-1.82,-15.02,13.20,5
434000000,433325012.207,-674987.793,26.04,-15.47,41.51,1
434000000,434325073.242,325073.242,2.97,-15.47,18.44,2
434000000,433000915.527,-999084.473,-1.05,-15.47,14.41,3
434000000,433803466.797,-196533.203,-1.86,-15.47,13.60,4
434000000,433851440.430,-148559.570,-3.08,-15.47,12.39,5
435000000,434325012.207,-674987.793,12.94,-15.00,27.94,1
436000000,435000915.527,-999084.473,-0.08,-15.54,15.46,1
437000000,437500915.527,500915.527,3.63,-15.17,18.80,1
438000000,437500915.527,-499084.473,4.33,-15.26,19.59,1
439000000,438000000.000,-1000000.000,20.59,-14.77,35.36,1
439000000,438946044.922,-53955.078,-1.77,-14.77,13.01,2
439000000,439851379.395,851379.395,-2.29,-14.77,12.48,3
440000000,440015319.824,15319.824,11.50,-14.33,25.83,1
440000000,440017883.301,17883.301,0.73,-14.33,15.06,2
440000000,440851379.395,851379.395,-0.84,-14.33,13.49,3
440000000,440327331.543,327331.543,-1.53,-14.33,12.80,4
440000000,440184692.383,184692.383,-1.79,-14.33,12.54,5
441000000,440000000.000,-1000000.000,20.85,-14.59,35.43,1
441000000,440994018.555,-5981.445,-0.15,-14.59,14.44,2
441000000,440803405.762,-196594.238,-0.57,-14.59,14.02,3
441000000,441327331.543,327331.543,-1.16,-14.59,13.43,4
441000000,440851379.395,-148620.605,-1.21,-14.59,13.38,5
442000000,441000000.000,-1000000.000,7.95,-14.73,22.68,1
442000000,442500915.527,500915.527,4.28,-14.73,19.01,2
442000000,441994018.555,-5981.445,-1.68,-14.73,13.05,3
442000000,442041992.188,41992.188,-1.70,-14.73,13.02,4
442000000,441184692.383,-815307.617,-2.60,-14.73,12.13,5
443000000,442500915.527,-499084.473,5.04,-14.58,19.63,1
443000000,442004455.566,-995544.434,1.05,-14.58,15.64,2
444000000,444435913.086,435913.086,6.11,-14.43,20.54,1
444000000,443000915.527,-999084.473,0.10,-14.43,14.53,2
445000000,444435913.086,-564086.914,5.42,-14.82,20.24,1
445000000,444004455.566,-995544.434,2.94,-14.82,17.76,2
446000000,446638671.875,638671.875,26.10,-14.18,40.28,1
446000000,446637268.066,637268.066,24.22,-14.18,38.40,2
446000000,445000915.527,-999084.473,0.13,-14.18,14.30,3
446000000,445435913.086,-564086.914,-1.37,-14.18,12.80,4
447000000,446638732.910,-361267.090,28.39,-13.89,42.27,1
447000000,446637329.102,-362670.898,23.57,-13.89,37.46,2
447000000,447637512.207,637512.207,17.55,-13.89,31.44,3
447000000,447638793.945,638793.945,9.48,-13.89,23.37,4
447000000,447500915.527,500915.527,5.03,-13.89,18.91,5
448000000,447638061.523,-361938.477,17.20,-13.99,31.19,1
448000000,447500915.527,-499084.473,5.36,-13.99,19.35,2
448000000,447993957.520,-6042.480,0.44,-13.99,14.42,3
448000000,448638732.910,638732.910,0.43,-13.99,14.42,4
448000000,447945922.852,-54077.148,0.33,-13.99,14.32,5
449000000,448638610.840,-361389.160,9.92,-13.90,23.82,1
449000000,448000976.562,-999023.438,0.46,-13.90,14.35,2
449000000,449184570.312,184570.312,-1.62,-13.90,12.28,3
450000000,450319580.078,319580.078,6.50,-13.57,20.07,1
450000000,450696777.344,696777.344,2.25,-13.57,15.82,2
450000000,450535644.531,535644.531,0.84,-13.57,14.41,3
450000000,450320922.852,320922.852,0.78,-13.57,14.34,4
450000000,449633911.133,-366088.867,-1.10,-13.57,12.47,5
